Subject,Channel,Num_Features,Metric,Value
9,AF7,10,train_acc,0.5795870597188447
9,AF7,10,test_acc,0.5470630630630631
9,AF7,10,f1_score,0.40200216940350797
9,AF8,10,train_acc,0.5931298539688206
9,AF8,10,test_acc,0.5206396396396397
9,AF8,10,f1_score,0.4521811961696689
9,TP9,10,train_acc,0.5699814777631523
9,TP9,10,test_acc,0.5163333333333333
9,TP9,10,f1_score,0.4959804104985507
9,TP10,10,train_acc,0.5783500509411091
9,TP10,10,test_acc,0.4714684684684684
9,TP10,10,f1_score,0.5025118979948816
9,Combined,10,train_acc,0.5746794180567021
9,Combined,10,test_acc,0.5382162162162162
9,Combined,10,f1_score,0.40670960366878584
9,AF7,20,train_acc,0.5829561485051078
9,AF7,20,test_acc,0.537036036036036
9,AF7,20,f1_score,0.4032710448956028
9,AF8,20,train_acc,0.5846659601841317
9,AF8,20,test_acc,0.5327117117117117
9,AF8,20,f1_score,0.45398620957332014
9,TP9,20,train_acc,0.5949106411143089
9,TP9,20,test_acc,0.5296396396396398
9,TP9,20,f1_score,0.5024179842515023
9,TP10,20,train_acc,0.6011751704853906
9,TP10,20,test_acc,0.45961261261261266
9,TP10,20,f1_score,0.4921350402688464
9,Combined,20,train_acc,0.5901120753977993
9,Combined,20,test_acc,0.5416846846846847
9,Combined,20,f1_score,0.4149565631732396
9,AF7,30,train_acc,0.5910912006980544
9,AF7,30,test_acc,0.5485495495495495
9,AF7,30,f1_score,0.40581025711677327
9,AF8,30,train_acc,0.6065247529170292
9,AF8,30,test_acc,0.548018018018018
9,AF8,30,f1_score,0.47562192805576986
9,TP9,30,train_acc,0.5976736447310037
9,TP9,30,test_acc,0.5177117117117117
9,TP9,30,f1_score,0.4789412835528773
9,TP10,30,train_acc,0.6194492460467964
9,TP10,30,test_acc,0.4930810810810812
9,TP10,30,f1_score,0.5255424911826606
9,Combined,30,train_acc,0.6054156224359023
9,Combined,30,test_acc,0.5415945945945946
9,Combined,30,f1_score,0.4079391887881962
9,AF7,40,train_acc,0.5996098084564719
9,AF7,40,test_acc,0.548945945945946
9,AF7,40,f1_score,0.41861412870439185
9,AF8,40,train_acc,0.5988056007952266
9,AF8,40,test_acc,0.5328018018018017
9,AF8,40,f1_score,0.46046191880649767
9,TP9,40,train_acc,0.6065883214718634
9,TP9,40,test_acc,0.5155675675675675
9,TP9,40,f1_score,0.47200150699429794
9,TP10,40,train_acc,0.6401999469518376
9,TP10,40,test_acc,0.4856576576576577
9,TP10,40,f1_score,0.5369639815790179
9,Combined,40,train_acc,0.6230669001777361
9,Combined,40,test_acc,0.552990990990991
9,Combined,40,f1_score,0.451811323131844
9,AF7,50,train_acc,0.608230722322617
9,AF7,50,test_acc,0.5488828828828829
9,AF7,50,f1_score,0.4440889595726051
9,AF8,50,train_acc,0.6258156031005907
9,AF8,50,test_acc,0.5481081081081081
9,AF8,50,f1_score,0.4634918553277948
9,TP9,50,train_acc,0.604368610361248
9,TP9,50,test_acc,0.510972972972973
9,TP9,50,f1_score,0.46308859120109663
9,TP10,50,train_acc,0.6785693307255452
9,TP10,50,test_acc,0.5017117117117117
9,TP10,50,f1_score,0.5387291427506045
9,Combined,50,train_acc,0.6069775313765008
9,Combined,50,test_acc,0.5510810810810811
9,Combined,50,f1_score,0.44729457900264674
9,AF7,60,train_acc,0.5909928979913587
9,AF7,60,test_acc,0.5557747747747748
9,AF7,60,f1_score,0.4382602723532146
9,AF8,60,train_acc,0.6191560086959325
9,AF8,60,test_acc,0.5434864864864866
9,AF8,60,f1_score,0.4569326640397369
9,TP9,60,train_acc,0.6365909887532938
9,TP9,60,test_acc,0.5023603603603604
9,TP9,60,f1_score,0.4630401514690769
9,TP10,60,train_acc,0.7217759706698198
9,TP10,60,test_acc,0.5164414414414414
9,TP10,60,f1_score,0.5400801710123925
9,Combined,60,train_acc,0.619766962397777
9,Combined,60,test_acc,0.5354774774774775
9,Combined,60,f1_score,0.42826846673513563
9,AF7,70,train_acc,0.6009047240132175
9,AF7,70,test_acc,0.5436036036036036
9,AF7,70,f1_score,0.436870536100317
9,AF8,70,train_acc,0.6193757619476112
9,AF8,70,test_acc,0.5379189189189189
9,AF8,70,f1_score,0.4575216019073599
9,TP9,70,train_acc,0.6221610284402601
9,TP9,70,test_acc,0.5097837837837838
9,TP9,70,f1_score,0.4536361590952417
9,TP10,70,train_acc,0.7306756204032157
9,TP10,70,test_acc,0.5186486486486486
9,TP10,70,f1_score,0.5337119640015973
9,Combined,70,train_acc,0.6171491818436466
9,Combined,70,test_acc,0.5341801801801801
9,Combined,70,f1_score,0.442640971638918
9,AF7,80,train_acc,0.6024281879094809
9,AF7,80,test_acc,0.542099099099099
9,AF7,80,f1_score,0.44181406771214826
9,AF8,80,train_acc,0.6649694353345381
9,AF8,80,test_acc,0.542063063063063
9,AF8,80,f1_score,0.4648971151295421
9,TP9,80,train_acc,0.6299408463412881
9,TP9,80,test_acc,0.5002702702702703
9,TP9,80,f1_score,0.46913711789658474
9,TP10,80,train_acc,0.7726533327384006
9,TP10,80,test_acc,0.5365945945945946
9,TP10,80,f1_score,0.5566352807882835
9,Combined,80,train_acc,0.6568796947003894
9,Combined,80,test_acc,0.5480180180180181
9,Combined,80,f1_score,0.4733039988013587
9,AF7,90,train_acc,0.5849081076927272
9,AF7,90,test_acc,0.5462792792792792
9,AF7,90,f1_score,0.4367189609013484
9,AF8,90,train_acc,0.6327776811012203
9,AF8,90,test_acc,0.5387207207207207
9,AF8,90,f1_score,0.46061953580858994
9,TP9,90,train_acc,0.6349349614657157
9,TP9,90,test_acc,0.5132162162162162
9,TP9,90,f1_score,0.47699885773380035
9,TP10,90,train_acc,0.7577936129021063
9,TP10,90,test_acc,0.5447207207207208
9,TP10,90,f1_score,0.5629248545225386
9,Combined,90,train_acc,0.6450411594246009
9,Combined,90,test_acc,0.537981981981982
9,Combined,90,f1_score,0.4717494886681915
9,AF7,100,train_acc,0.6339736717508621
9,AF7,100,test_acc,0.5426036036036035
9,AF7,100,f1_score,0.4663716853955382
9,AF8,100,train_acc,0.6117541763033364
9,AF8,100,test_acc,0.5426846846846847
9,AF8,100,f1_score,0.4685283740099163
9,TP9,100,train_acc,0.6379415676971397
9,TP9,100,test_acc,0.511063063063063
9,TP9,100,f1_score,0.47661435190890417
9,TP10,100,train_acc,0.7723918424816625
9,TP10,100,test_acc,0.5446576576576577
9,TP10,100,f1_score,0.5645745620190679
9,Combined,100,train_acc,0.6847031633065366
9,Combined,100,test_acc,0.5284144144144144
9,Combined,100,f1_score,0.4795315300726945
9,AF7,110,train_acc,0.6412792861799621
9,AF7,110,test_acc,0.5306216216216215
9,AF7,110,f1_score,0.4582962758715139
9,AF8,110,train_acc,0.6333551549675638
9,AF8,110,test_acc,0.542099099099099
9,AF8,110,f1_score,0.4798422687493784
9,TP9,110,train_acc,0.6603964854353048
9,TP9,110,test_acc,0.5182702702702703
9,TP9,110,f1_score,0.487090270174253
9,TP10,110,train_acc,0.793551274519282
9,TP10,110,test_acc,0.545981981981982
9,TP10,110,f1_score,0.5672387300177326
9,Combined,110,train_acc,0.6786504820193997
9,Combined,110,test_acc,0.5391351351351351
9,Combined,110,f1_score,0.4852593086048965
9,AF7,120,train_acc,0.6496118461008362
9,AF7,120,test_acc,0.5385945945945945
9,AF7,120,f1_score,0.48912476831790014
9,AF8,120,train_acc,0.6742769163648623
9,AF8,120,test_acc,0.5366486486486487
9,AF8,120,f1_score,0.48180951485812507
9,TP9,120,train_acc,0.6701521341969772
9,TP9,120,test_acc,0.5174144144144146
9,TP9,120,f1_score,0.5125691482973348
9,TP10,120,train_acc,0.7954065348395046
9,TP10,120,test_acc,0.5453333333333333
9,TP10,120,f1_score,0.5634383741915838
9,Combined,120,train_acc,0.6581780385565942
9,Combined,120,test_acc,0.534009009009009
9,Combined,120,f1_score,0.46361165990092107
9,AF7,130,train_acc,0.7083612108862762
9,AF7,130,test_acc,0.5336576576576576
9,AF7,130,f1_score,0.5074031877052028
9,AF8,130,train_acc,0.6493317047051737
9,AF8,130,test_acc,0.5272252252252253
9,AF8,130,f1_score,0.46079513216309875
9,TP9,130,train_acc,0.6595440758340831
9,TP9,130,test_acc,0.5176666666666667
9,TP9,130,f1_score,0.49438545246540705
9,TP10,130,train_acc,0.8005087442706745
9,TP10,130,test_acc,0.5580090090090091
9,TP10,130,f1_score,0.5761333397627897
9,Combined,130,train_acc,0.6880729238709293
9,Combined,130,test_acc,0.5264144144144145
9,Combined,130,f1_score,0.4663599103179119
9,AF7,140,train_acc,0.7027527658171524
9,AF7,140,test_acc,0.5391351351351352
9,AF7,140,f1_score,0.518511689116434
9,AF8,140,train_acc,0.6107143554772227
9,AF8,140,test_acc,0.5318558558558559
9,AF8,140,f1_score,0.4719140929207811
9,TP9,140,train_acc,0.6913095335480048
9,TP9,140,test_acc,0.5199909909909909
9,TP9,140,f1_score,0.5068258596629094
9,TP10,140,train_acc,0.8181356942244433
9,TP10,140,test_acc,0.5614954954954955
9,TP10,140,f1_score,0.5754286562090117
9,Combined,140,train_acc,0.7105394452748712
9,Combined,140,test_acc,0.5263063063063063
9,Combined,140,f1_score,0.4868372943799262
9,AF7,150,train_acc,0.7238052314411996
9,AF7,150,test_acc,0.5403963963963964
9,AF7,150,f1_score,0.5155096473399927
9,AF8,150,train_acc,0.6065328687900805
9,AF8,150,test_acc,0.5324864864864864
9,AF8,150,f1_score,0.4714524635364469
9,TP9,150,train_acc,0.681691195244505
9,TP9,150,test_acc,0.4987837837837839
9,TP9,150,f1_score,0.48270494671020925
9,TP10,150,train_acc,0.8205512348571047
9,TP10,150,test_acc,0.5628198198198198
9,TP10,150,f1_score,0.5787095027358792
9,Combined,150,train_acc,0.6624593599020343
9,Combined,150,test_acc,0.5179369369369369
9,Combined,150,f1_score,0.4261029493574967
9,AF7,160,train_acc,0.7343153118314755
9,AF7,160,test_acc,0.5454774774774774
9,AF7,160,f1_score,0.5403800687793493
9,AF8,160,train_acc,0.5891335425513191
9,AF8,160,test_acc,0.5373153153153154
9,AF8,160,f1_score,0.47437122798715664
9,TP9,160,train_acc,0.6967946515553771
9,TP9,160,test_acc,0.5155045045045046
9,TP9,160,f1_score,0.5003330299007432
9,TP10,160,train_acc,0.8275404888859142
9,TP10,160,test_acc,0.556036036036036
9,TP10,160,f1_score,0.5717280431036899
9,Combined,160,train_acc,0.7140645154893197
9,Combined,160,test_acc,0.5392612612612613
9,Combined,160,f1_score,0.4969268986058827
9,AF7,170,train_acc,0.7639268703815254
9,AF7,170,test_acc,0.5562252252252252
9,AF7,170,f1_score,0.5575018875275686
9,AF8,170,train_acc,0.5796279811703812
9,AF8,170,test_acc,0.5238558558558558
9,AF8,170,f1_score,0.4691173291700551
9,TP9,170,train_acc,0.691144105084939
9,TP9,170,test_acc,0.502891891891892
9,TP9,170,f1_score,0.4583492499867141
9,TP10,170,train_acc,0.817707550934912
9,TP10,170,test_acc,0.5546486486486486
9,TP10,170,f1_score,0.576379234828649
9,Combined,170,train_acc,0.6961622728410761
9,Combined,170,test_acc,0.5246126126126127
9,Combined,170,f1_score,0.4568302116580904
9,AF7,180,train_acc,0.7812793010532787
9,AF7,180,test_acc,0.5569369369369369
9,AF7,180,f1_score,0.5599424079458104
9,AF8,180,train_acc,0.6030553535263394
9,AF8,180,test_acc,0.5265315315315315
9,AF8,180,f1_score,0.468151475629599
9,TP9,180,train_acc,0.7576042012161415
9,TP9,180,test_acc,0.491954954954955
9,TP9,180,f1_score,0.4894918081661843
9,TP10,180,train_acc,0.8275440535241083
9,TP10,180,test_acc,0.5654684684684685
9,TP10,180,f1_score,0.5857091147458217
9,Combined,180,train_acc,0.6898256500259043
9,Combined,180,test_acc,0.5134594594594594
9,Combined,180,f1_score,0.4377656850437249
9,AF7,190,train_acc,0.7727649197956407
9,AF7,190,test_acc,0.5542972972972973
9,AF7,190,f1_score,0.5458601420546085
9,AF8,190,train_acc,0.6224260312785846
9,AF8,190,test_acc,0.5157657657657658
9,AF8,190,f1_score,0.4690935286705802
9,TP9,190,train_acc,0.7810607847657576
9,TP9,190,test_acc,0.5046846846846847
9,TP9,190,f1_score,0.4965159327889488
9,TP10,190,train_acc,0.8355930685387214
9,TP10,190,test_acc,0.5461081081081081
9,TP10,190,f1_score,0.5618118836379261
9,Combined,190,train_acc,0.6499171977680109
9,Combined,190,test_acc,0.5273783783783783
9,Combined,190,f1_score,0.43866082490631564
9,AF7,200,train_acc,0.7867513057532468
9,AF7,200,test_acc,0.5636756756756757
9,AF7,200,f1_score,0.5584013904847384
9,AF8,200,train_acc,0.6747960744359914
9,AF8,200,test_acc,0.5158918918918919
9,AF8,200,f1_score,0.4558504233796506
9,TP9,200,train_acc,0.7747940615804882
9,TP9,200,test_acc,0.5012522522522522
9,TP9,200,f1_score,0.5079263838318442
9,TP10,200,train_acc,0.8352193715032212
9,TP10,200,test_acc,0.5613693693693693
9,TP10,200,f1_score,0.5752600592820294
9,Combined,200,train_acc,0.721242868864447
9,Combined,200,test_acc,0.5150900900900901
9,Combined,200,f1_score,0.4654401468318837
9,AF7,210,train_acc,0.7873996782405858
9,AF7,210,test_acc,0.5643243243243243
9,AF7,210,f1_score,0.5596238554964243
9,AF8,210,train_acc,0.6842051179082167
9,AF8,210,test_acc,0.5205585585585585
9,AF8,210,f1_score,0.45771379512461
9,TP9,210,train_acc,0.7975420183586304
9,TP9,210,test_acc,0.5153873873873873
9,TP9,210,f1_score,0.5191484450399602
9,TP10,210,train_acc,0.8270423988676449
9,TP10,210,test_acc,0.548054054054054
9,TP10,210,f1_score,0.559587875996681
9,Combined,210,train_acc,0.6868374643969987
9,Combined,210,test_acc,0.5320270270270271
9,Combined,210,f1_score,0.4564165320649489
9,AF7,220,train_acc,0.782317024741762
9,AF7,220,test_acc,0.5689909909909909
9,AF7,220,f1_score,0.5564269282985277
9,AF8,220,train_acc,0.687232442669562
9,AF8,220,test_acc,0.5199459459459459
9,AF8,220,f1_score,0.45824756140552464
9,TP9,220,train_acc,0.8056388139025847
9,TP9,220,test_acc,0.5215405405405406
9,TP9,220,f1_score,0.5241463234406505
9,TP10,220,train_acc,0.8393245332877217
9,TP10,220,test_acc,0.5655585585585585
9,TP10,220,f1_score,0.5769303316084801
9,Combined,220,train_acc,0.7059480995619809
9,Combined,220,test_acc,0.5263873873873874
9,Combined,220,f1_score,0.4668912420982112
9,AF7,230,train_acc,0.8011989603551749
9,AF7,230,test_acc,0.5603513513513514
9,AF7,230,f1_score,0.5614683171836482
9,AF8,230,train_acc,0.6762671445959043
9,AF8,230,test_acc,0.5124864864864865
9,AF8,230,f1_score,0.4538280598328928
9,TP9,230,train_acc,0.7840966839940803
9,TP9,230,test_acc,0.5127207207207207
9,TP9,230,f1_score,0.5131702927012306
9,TP10,230,train_acc,0.8278796426437817
9,TP10,230,test_acc,0.5501981981981982
9,TP10,230,f1_score,0.5564885235295532
9,Combined,230,train_acc,0.7367888187364126
9,Combined,230,test_acc,0.5244774774774775
9,Combined,230,f1_score,0.48667035798723884
9,AF7,240,train_acc,0.8270457280116605
9,AF7,240,test_acc,0.5696576576576576
9,AF7,240,f1_score,0.5636575840879436
9,AF8,240,train_acc,0.7001339490886375
9,AF8,240,test_acc,0.5258828828828829
9,AF8,240,f1_score,0.4572951986983315
9,TP9,240,train_acc,0.8066137052654019
9,TP9,240,test_acc,0.49731531531531525
9,TP9,240,f1_score,0.4998881235349349
9,TP10,240,train_acc,0.8363587815779102
9,TP10,240,test_acc,0.5486936936936937
9,TP10,240,f1_score,0.5593318170585522
9,Combined,240,train_acc,0.72090863817435
9,Combined,240,test_acc,0.5310990990990991
9,Combined,240,f1_score,0.4862654086424034
9,AF7,250,train_acc,0.8334361624860251
9,AF7,250,test_acc,0.5615945945945946
9,AF7,250,f1_score,0.5575909346115535
9,AF8,250,train_acc,0.7031051840944753
9,AF8,250,test_acc,0.5233963963963963
9,AF8,250,f1_score,0.45367859569206204
9,TP9,250,train_acc,0.7809438086101629
9,TP9,250,test_acc,0.5284144144144143
9,TP9,250,f1_score,0.5444154246702353
9,TP10,250,train_acc,0.826704023480009
9,TP10,250,test_acc,0.5474234234234233
9,TP10,250,f1_score,0.5594261454545779
9,Combined,250,train_acc,0.6973807891285972
9,Combined,250,test_acc,0.5280090090090089
9,Combined,250,f1_score,0.4647473571249418
